,first_guess,target_word,player,num_guesses,expected_guesses,luck,first_guess_vowels,first_guess_consonants,target_vowels,target_consonants,first_guess_entropy,target_entropy,target_guessed,mid_guesses_avg_vows,mid_guesses_avg_cons,avg_perf_letters,avg_wrong_pos_letters,avg_wrong_letters,avg_remaining,avg_intermediate_guess_entropy,valid_success
24,douce,sweat,aidan,4.0,4.0,0.09,3.0,2.0,2.0,3.0,63.68,77.97,True,2.5,2.5,3.0,6.0,21.0,113.33,90.92,True
25,douce,sweat,wizard,4.0,4.0,0.0,3.0,2.0,2.0,3.0,63.68,77.97,True,2.5,2.5,1.0,12.0,17.0,110.33,90.92,True
26,douce,ruddy,aidan,3.0,3.0,0.12,3.0,2.0,2.0,3.0,63.68,30.12,True,2.67,2.33,1.0,5.0,9.0,6.5,87.89,True
27,douce,ruddy,wizard,3.0,3.0,0.0,3.0,2.0,2.0,3.0,63.68,30.12,True,2.67,2.33,2.0,4.0,9.0,8.0,87.89,True
28,douce,vague,aidan,4.0,3.0,-0.21,3.0,2.0,3.0,2.0,63.63,58.28,True,3.0,2.0,5.0,4.0,18.0,12.33,90.91,True
29,douce,vague,wizard,3.0,3.0,0.0,3.0,2.0,3.0,2.0,63.63,58.28,True,3.0,2.0,4.0,3.0,7.0,18.0,87.88,True
30,arose,syrup,aidan,4.0,4.0,0.0,3.0,2.0,2.0,3.0,99.45,49.32,True,2.5,2.5,0.0,12.0,16.0,7.67,99.86,True
31,arose,syrup,wizard,4.0,4.0,0.0,3.0,2.0,2.0,3.0,99.45,49.32,True,2.0,3.0,3.0,10.0,16.0,8.67,99.86,True
32,adore,above,aidan,2.0,3.0,0.36,3.0,2.0,3.0,2.0,91.13,65.83,True,3.0,2.0,3.0,0.0,2.0,4.0,95.56,True
33,adore,above,wizard,3.0,3.0,0.0,3.0,2.0,3.0,2.0,91.13,65.83,True,3.0,2.0,6.0,0.0,6.0,3.0,97.04,True
34,arose,moose,aidan,5.0,5.0,0.0,3.0,2.0,3.0,2.0,99.45,53.51,True,2.6,2.4,12.0,0.0,22.0,4.5,99.89,True
35,arose,moose,wizard,5.0,5.0,0.0,3.0,2.0,3.0,2.0,99.45,53.51,True,2.6,2.4,13.0,0.0,19.0,4.5,99.89,True
36,arose,polka,aidan,4.0,3.0,-0.33,3.0,2.0,2.0,3.0,99.45,54.91,True,2.5,2.5,3.0,7.0,19.0,20.67,99.86,True
37,arose,polka,wizard,3.0,3.0,0.0,3.0,2.0,2.0,3.0,99.45,54.91,True,2.33,2.67,1.0,6.0,8.0,22.5,99.82,True
38,audio,syrup,dad,4.0,3.0,-0.21,4.0,1.0,2.0,3.0,62.01,49.32,True,2.5,2.5,1.0,10.0,18.0,37.0,90.5,True
39,audio,syrup,wizard,3.0,3.0,0.0,4.0,1.0,2.0,3.0,62.01,49.32,True,2.67,2.33,0.0,4.0,11.0,56.0,87.34,True
40,audio,worse,dad,4.0,4.0,0.09,4.0,1.0,2.0,3.0,62.01,76.4,True,2.5,2.5,5.0,9.0,15.0,95.33,90.5,True
41,audio,worse,wizard,4.0,4.0,0.0,4.0,1.0,2.0,3.0,62.01,76.4,True,2.5,2.5,5.0,9.0,15.0,95.33,90.5,True
42,audio,worse,diane,4.0,4.0,0.09,4.0,1.0,2.0,3.0,62.01,76.4,True,2.5,2.5,4.0,8.0,17.0,96.67,90.5,True
44,audio,polka,diane,3.0,3.0,0.13,4.0,1.0,2.0,3.0,62.01,54.91,True,2.67,2.33,3.0,5.0,7.0,38.5,87.34,True
45,audio,polka,wizard,3.0,3.0,0.0,4.0,1.0,2.0,3.0,62.01,54.91,True,3.0,2.0,1.0,6.0,8.0,38.5,87.34,True
46,audio,polka,dad,4.0,3.0,-0.21,4.0,1.0,2.0,3.0,62.03,55.0,True,2.5,2.5,2.0,11.0,17.0,32.0,90.51,True
47,audio,polka,wizard,3.0,3.0,0.0,4.0,1.0,2.0,3.0,62.03,55.0,True,3.0,2.0,1.0,6.0,8.0,39.0,87.34,True
48,audio,moose,dad,6.0,6.0,0.06,4.0,1.0,3.0,2.0,62.03,53.53,True,2.83,2.17,13.0,9.0,37.0,59.8,93.67,True
49,audio,moose,wizard,6.0,6.0,0.0,4.0,1.0,3.0,2.0,62.03,53.53,True,2.67,2.33,12.0,9.0,39.0,59.8,93.67,True
50,audio,moose,diane,4.0,6.0,0.4,4.0,1.0,3.0,2.0,62.03,53.53,True,2.75,2.25,5.0,5.0,18.0,98.0,90.51,True
52,homes,squat,kai,3.0,4.0,0.34,2.0,3.0,2.0,3.0,65.04,50.65,True,1.67,3.33,2.0,4.0,9.0,81.5,88.35,True
53,homes,squat,wizard,4.0,4.0,0.0,2.0,3.0,2.0,3.0,65.04,50.65,True,2.0,3.0,2.0,9.0,18.0,54.67,91.26,True
54,audio,above,diane,3.0,4.0,0.34,4.0,1.0,3.0,2.0,62.04,65.89,True,3.33,1.67,4.0,2.0,8.0,16.5,87.35,True
55,audio,above,wizard,4.0,4.0,0.0,4.0,1.0,3.0,2.0,62.04,65.89,True,3.25,1.75,7.0,3.0,15.0,12.0,90.51,True
56,audio,squat,diane,3.0,3.0,0.13,4.0,1.0,2.0,3.0,62.04,50.65,True,3.0,2.0,2.0,6.0,7.0,16.5,87.35,True
57,audio,squat,wizard,3.0,3.0,0.0,4.0,1.0,2.0,3.0,62.04,50.65,True,3.0,2.0,2.0,6.0,7.0,16.5,87.35,True
58,audio,squat,dad,3.0,3.0,0.13,4.0,1.0,2.0,3.0,62.03,50.67,True,3.0,2.0,1.0,6.0,8.0,17.0,87.34,True
59,audio,squat,wizard,3.0,3.0,0.0,4.0,1.0,2.0,3.0,62.03,50.67,True,3.0,2.0,2.0,6.0,7.0,17.0,87.34,True
60,audio,trend,dad,3.0,2.0,-0.31,4.0,1.0,1.0,4.0,62.03,78.54,True,2.33,2.67,0.0,6.0,9.0,15.5,87.34,True
61,audio,trend,wizard,2.0,2.0,0.0,4.0,1.0,1.0,4.0,62.03,78.54,True,2.5,2.5,0.0,1.0,4.0,30.0,81.02,True
62,audio,trend,diane,3.0,2.0,-0.31,4.0,1.0,1.0,4.0,62.03,78.54,True,2.0,3.0,0.0,5.0,10.0,16.5,87.34,True
64,later,trend,kai,3.0,4.0,0.25,2.0,3.0,1.0,4.0,100.0,78.59,True,1.33,3.67,0.0,10.0,5.0,17.0,100.0,True
65,later,trend,wizard,4.0,4.0,0.0,2.0,3.0,1.0,4.0,100.0,78.59,True,1.75,3.25,0.0,18.0,12.0,14.33,100.0,True
66,later,toxic,kai,3.0,5.0,0.4,2.0,3.0,2.0,3.0,100.0,44.39,True,1.67,3.33,1.0,3.0,10.0,56.0,100.0,True
67,later,toxic,wizard,5.0,5.0,0.0,2.0,3.0,2.0,3.0,100.0,44.39,True,2.0,3.0,10.0,10.0,22.0,28.25,100.0,True
68,audio,toxic,dad,3.0,6.0,0.56,4.0,1.0,2.0,3.0,61.98,44.39,True,2.67,2.33,2.0,4.0,8.0,14.5,87.33,True
69,audio,toxic,wizard,6.0,6.0,0.0,4.0,1.0,2.0,3.0,61.98,44.39,True,2.33,2.67,12.0,19.0,29.0,6.8,93.66,True
70,audio,toxic,diane,5.0,6.0,0.23,4.0,1.0,2.0,3.0,62.02,44.49,True,2.6,2.4,9.0,6.0,26.0,10.5,92.4,True
71,audio,toxic,wizard,6.0,6.0,0.0,4.0,1.0,2.0,3.0,62.02,44.49,True,2.33,2.67,12.0,19.0,29.0,7.0,93.67,True
